workload,workload_version,scenario,db,scenario_type,runs,concurrency,warmup_runs,warmup_errors,successful_runs,errors,error_rate_pct,throughput_ops_s,wall_time_s,avg,p50,p95,p99,min,max,cpu_avg_pct,cpu_p95_pct,cpu_max_pct,mem_avg_mb,mem_p95_mb,mem_max_mb,resource_samples,resource_errors,cost_index,latency_norm,cost_norm,decision_score,latency_winner,cost_winner,recommended
pitlane-ecommerce-default,1.1,point_lookup,postgres,builtin,300,48,5,0,300,0,0.0,81.485,3.682,242.26,213.521,649.733,816.349,1.166,854.5,15.75,22.45,24.65,70.97,81.92,83.46,3,0,0.464355,1.0,1.0,1.0,False,False,False
pitlane-ecommerce-default,1.1,point_lookup,dynamo,builtin,300,48,5,0,300,0,0.0,640.353,0.468,52.253,52.159,78.155,99.792,7.269,123.639,0.24,0.24,0.24,308.7,308.7,308.7,1,0,0.193056,0.1951,0.362148,0.245215,False,False,False
pitlane-ecommerce-default,1.1,point_lookup,mongodb,builtin,300,48,5,0,300,0,0.0,1918.003,0.156,6.197,3.262,21.862,52.943,0.391,62.678,0.61,0.61,0.61,186.2,186.2,186.2,1,0,0.039023,0.0,0.0,0.0,True,True,True
pitlane-ecommerce-default,1.1,complex_join,postgres,builtin,180,32,5,0,180,0,0.0,67.379,2.671,197.601,135.621,714.901,826.822,1.685,864.596,16.41,4.61,28.21,61.29,46.6,75.98,2,0,0.509981,1.0,1.0,1.0,False,False,False
pitlane-ecommerce-default,1.1,complex_join,mongodb,builtin,180,32,5,0,180,0,0.0,1978.411,0.091,3.628,2.402,10.396,11.355,0.895,17.153,0.62,0.62,0.62,186.2,186.2,186.2,1,0,0.037834,0.0,0.0,0.0,True,True,True
pitlane-ecommerce-default,1.1,bulk_write,postgres,builtin,40,12,5,0,40,0,0.0,40.47,0.988,171.785,175.795,286.217,291.581,44.463,294.054,28.0,28.0,28.0,46.95,46.95,46.95,1,0,0.87917,0.764973,0.191887,0.593047,False,False,False
pitlane-ecommerce-default,1.1,bulk_write,dynamo,builtin,40,12,5,0,40,0,0.0,46.09,0.868,221.798,217.339,256.952,258.451,175.824,258.877,102.8,102.8,102.8,324.6,324.6,324.6,1,0,4.155348,1.0,1.0,1.0,False,False,False
pitlane-ecommerce-default,1.1,bulk_write,mongodb,builtin,40,12,5,0,40,0,0.0,740.088,0.054,9.001,3.11,28.635,29.782,1.454,31.189,0.61,0.61,0.61,186.4,186.4,186.4,1,0,0.101239,0.0,0.0,0.0,True,True,True
pitlane-ecommerce-default,1.1,range_query,postgres,builtin,180,24,5,0,180,0,0.0,75.116,2.396,142.527,138.749,342.445,432.127,1.304,475.024,36.33,36.33,36.33,76.2,76.2,76.2,1,0,0.695964,1.0,1.0,1.0,False,False,False
pitlane-ecommerce-default,1.1,range_query,mongodb,builtin,180,24,5,0,180,0,0.0,3766.037,0.048,2.666,1.919,7.538,8.707,0.407,13.265,0.66,0.66,0.66,186.4,186.4,186.4,1,0,0.019903,0.0,0.0,0.0,True,True,True
pitlane-ecommerce-default,1.1,aggregation,postgres,builtin,12,4,5,0,12,0,0.0,94.527,0.127,18.792,14.25,41.339,41.339,1.473,45.225,0.01,0.01,0.01,48.92,48.92,48.92,1,0,0.207073,1.0,0.0,0.7,False,True,False
pitlane-ecommerce-default,1.1,aggregation,mongodb,builtin,12,4,5,5,0,12,100.0,0.0,6.009,0.0,0.0,0.0,0.0,0.0,0.0,7.475,14.65,42.06,186.887,187.3,187.4,8,0,79239.8,0.0,1.0,0.3,True,False,True
